ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External_ID,Agreement,Dataset Name,Reviews,View Label,Masks
cjp1xsx7dzqnd0d40ctsqfbs8,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame16200.png?alt=media&token=3321e45f-ed90-4973-bc68-0bceefa3d250,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xsx7dzqnd0d40ctsqfbs8.lbx?alt=media&token=a39dde3e-012f-4a55-b773-7f746c19c950&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xsx7dzqnd0d40ctsqfbs8.lbx?alt=media&token=a39dde3e-012f-4a55-b773-7f746c19c950&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xsx7dzqnd0d40ctsqfbs8.lbx?alt=media&token=a39dde3e-012f-4a55-b773-7f746c19c950&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xsx7dzqnd0d40ctsqfbs8.lbx?alt=media&token=a39dde3e-012f-4a55-b773-7f746c19c950&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54346E+12,532.433,ideal_frame16200.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp1xsx7dzqnd0d40ctsqfbs8,
cjp1ye3owzw670d408rbnf618,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame15300.png?alt=media&token=3cb74117-4410-4efe-a99e-f49aa606fbc9,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1ye3owzw670d408rbnf618.lbx?alt=media&token=09e34f95-904a-4308-a669-3464fdef0290&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1ye3owzw670d408rbnf618.lbx?alt=media&token=09e34f95-904a-4308-a669-3464fdef0290&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1ye3owzw670d408rbnf618.lbx?alt=media&token=09e34f95-904a-4308-a669-3464fdef0290&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1ye3owzw670d408rbnf618.lbx?alt=media&token=09e34f95-904a-4308-a669-3464fdef0290&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54346E+12,197.484,ideal_frame15300.png,0,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp1ye3owzw670d408rbnf618,
cjp1ylu8ozyd50d40blybg84l,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame14400.png?alt=media&token=99b7f803-24de-4609-889d-c799c36f256d,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=440c1a87-3778-49e4-926e-c32b7618be52&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=440c1a87-3778-49e4-926e-c32b7618be52&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=440c1a87-3778-49e4-926e-c32b7618be52&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=440c1a87-3778-49e4-926e-c32b7618be52&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54346E+12,360.794,ideal_frame14400.png,0,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp1ylu8ozyd50d40blybg84l,
cjp2ryesg4shh0d40h2tpjrlo,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame15300.png?alt=media&token=3cb74117-4410-4efe-a99e-f49aa606fbc9,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18m4e6w02s62nc6byrr.lbx?alt=media&token=c9bb2a0a-cfcf-4622-8a2a-0d98d1342eae&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18m4e6w02s62nc6byrr.lbx?alt=media&token=c9bb2a0a-cfcf-4622-8a2a-0d98d1342eae&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18m4e6w02s62nc6byrr.lbx?alt=media&token=c9bb2a0a-cfcf-4622-8a2a-0d98d1342eae&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18m4e6w02s62nc6byrr.lbx?alt=media&token=c9bb2a0a-cfcf-4622-8a2a-0d98d1342eae&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,245.167,ideal_frame15300.png,0,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2ryesg4shh0d40h2tpjrlo,
cjp2s4q9d4v220d40w88xmuw6,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame14400.png?alt=media&token=99b7f803-24de-4609-889d-c799c36f256d,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=757d5c28-7283-4b33-bba8-c99300e81f65&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=757d5c28-7283-4b33-bba8-c99300e81f65&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=757d5c28-7283-4b33-bba8-c99300e81f65&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6s02s6on0ol0ix.lbx?alt=media&token=757d5c28-7283-4b33-bba8-c99300e81f65&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,294.555,ideal_frame14400.png,0,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2s4q9d4v220d40w88xmuw6,
cjp2s8gg54vx10d409jui5h66,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame13500.png?alt=media&token=00a13b28-1603-48c6-aacc-fff132f722f2,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6o02s6uyzk5rmy.lbx?alt=media&token=695cdb80-e273-42e4-af42-bbd975cee648&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6o02s6uyzk5rmy.lbx?alt=media&token=695cdb80-e273-42e4-af42-bbd975cee648&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6o02s6uyzk5rmy.lbx?alt=media&token=695cdb80-e273-42e4-af42-bbd975cee648&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6o02s6uyzk5rmy.lbx?alt=media&token=695cdb80-e273-42e4-af42-bbd975cee648&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,173.709,ideal_frame13500.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2s8gg54vx10d409jui5h66,
cjp2scnx34xgh0d40elqrjp19,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame12600.png?alt=media&token=3ddc646c-8f5e-4969-b446-4edf26b6f48b,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6k02s6f9lr2i9y.lbx?alt=media&token=e44bd1e0-a61b-4c73-8666-15c4bc50e56a&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6k02s6f9lr2i9y.lbx?alt=media&token=e44bd1e0-a61b-4c73-8666-15c4bc50e56a&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6k02s6f9lr2i9y.lbx?alt=media&token=e44bd1e0-a61b-4c73-8666-15c4bc50e56a&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6k02s6f9lr2i9y.lbx?alt=media&token=e44bd1e0-a61b-4c73-8666-15c4bc50e56a&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,196.416,ideal_frame12600.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2scnx34xgh0d40elqrjp19,
cjp2sjjog508q0d40p25wuud6,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame11700.png?alt=media&token=c9954edb-8ac0-4056-bbee-c9796e3021f1,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6g02s6teq95e5y.lbx?alt=media&token=4a9c5d43-883a-4546-9974-c9c08f7aa1de&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6g02s6teq95e5y.lbx?alt=media&token=4a9c5d43-883a-4546-9974-c9c08f7aa1de&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6g02s6teq95e5y.lbx?alt=media&token=4a9c5d43-883a-4546-9974-c9c08f7aa1de&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6g02s6teq95e5y.lbx?alt=media&token=4a9c5d43-883a-4546-9974-c9c08f7aa1de&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,320.743,ideal_frame11700.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2sjjog508q0d40p25wuud6,
cjp2suvwg55fg0d404nxoweq3,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame10800.png?alt=media&token=d8a3b0ab-74a9-45b3-9c31-219edcdec9a6,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6c02s6d8sskqj6.lbx?alt=media&token=cceb87d3-35bd-4815-aec8-e85182abb070&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6c02s6d8sskqj6.lbx?alt=media&token=cceb87d3-35bd-4815-aec8-e85182abb070&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6c02s6d8sskqj6.lbx?alt=media&token=cceb87d3-35bd-4815-aec8-e85182abb070&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6c02s6d8sskqj6.lbx?alt=media&token=cceb87d3-35bd-4815-aec8-e85182abb070&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,529.051,ideal_frame10800.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2suvwg55fg0d404nxoweq3,
cjp2t02r557th0d40pejh66he,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp1xb42fzm320d40ilqhfhi8%2F0976ebd9-fdf1-4be8-9164-ded263e52cc9%2Fideal_frame9900.png?alt=media&token=1f66c2cf-66d8-4aa6-a85c-b27f198a54bd,"{""segmentationMaskURL"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6802s6emgumlgi.lbx?alt=media&token=f27b3cd3-1274-42b8-8f0f-2a186f79c9f9&format=png&visible=true"",""segmentationMasksByName"":{""Background"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6802s6emgumlgi.lbx?alt=media&token=f27b3cd3-1274-42b8-8f0f-2a186f79c9f9&format=png&visible=true&color=[255,255,255,255]"",""Meat"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6802s6emgumlgi.lbx?alt=media&token=f27b3cd3-1274-42b8-8f0f-2a186f79c9f9&format=png&visible=true&color=[0,0,128,255]"",""Raw"":""https://us-central1-labelbox-193903.cloudfunctions.net/superpixel-label-export/cjp1xbfjbzmg00d40hcqcskvt%2Fcjp1xd18l4e6802s6emgumlgi.lbx?alt=media&token=f27b3cd3-1274-42b8-8f0f-2a186f79c9f9&format=png&visible=true&color=[0,128,0,255]""}}",Durden4th@gmail.com,meat,1.54351E+12,242.137,ideal_frame9900.png,,ideal,[],https://image-segmentation-v4.labelbox.com?project=cjp1xbfjbzmg00d40hcqcskvt&label=cjp2t02r557th0d40pejh66he,
