,vid,cooked,uncooked,perc
0,ideal_frame00000,0,1570452,1.0
1,ideal_frame00900,0,1547114,1.0
2,ideal_frame01800,0,1604946,1.0
3,ideal_frame02700,0,1602610,1.0
4,ideal_frame03600,0,1568874,1.0
5,ideal_frame04500,97613,1212928,0.9255170193072937
6,ideal_frame05400,119576,1397293,0.9211691978674493
7,ideal_frame06300,167697,1352507,0.8896878313700003
8,ideal_frame07200,450298,1049851,0.6998311501057561
9,ideal_frame08100,480000,1145423,0.7046922554928778
10,ideal_frame09000,995722,407792,0.2905507176985766
11,ideal_frame09900,1324399,472184,0.26282337081003215
12,ideal_frame10800,1119237,186106,0.1425724886102733
13,ideal_frame11700,1598432,52091,0.03156029937177489
14,ideal_frame12600,1411338,0,0.0
15,ideal_frame13500,1709252,55840,0.03163574476571193
16,ideal_frame14400,1236487,95389,0.07162003069354805
17,ideal_frame15300,1623062,15510,0.009465559035550467
18,ideal_frame16200,1521144,6646,0.0043500742903147685
19,ideal_frame17100,1571175,0,0.0
20,nonideal_frame00000,0,1570452,1.0
21,nonideal_frame00900,0,1547114,1.0
22,nonideal_frame01800,0,1604946,1.0
23,nonideal_frame02700,0,1602610,1.0
24,nonideal_frame03600,0,1568874,1.0
25,nonideal_frame04500,97613,1212928,0.9255170193072937
26,nonideal_frame05400,119576,1397293,0.9211691978674493
27,nonideal_frame06300,167697,1352507,0.8896878313700003
28,nonideal_frame07200,450298,1049851,0.6998311501057561
29,nonideal_frame08100,480000,1145423,0.7046922554928778
30,nonideal_frame09000,995722,407792,0.2905507176985766
31,nonideal_frame09900,1324399,472184,0.26282337081003215
32,nonideal_frame10800,1119237,186106,0.1425724886102733
33,nonideal_frame11700,1598432,52091,0.03156029937177489
34,nonideal_frame12600,1411338,0,0.0
35,nonideal_frame13500,1709252,55840,0.03163574476571193
36,nonideal_frame14400,1236487,95389,0.07162003069354805
